Point ID,H_lower,H_upper,Points_0,Points_1,Points_2,Points_Magnitude,arc_length,b,v1_lower,v1_upper,v2_lower,v2_upper,vtkValidPointMask
911,0.75,1.5,9.11,5,0,10.3919,9.11,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
912,0.75,1.5,9.12,5,0,10.4007,9.12,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
913,0.75,1.5,9.13,5,0,10.4095,9.13,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
914,0.75,1.5,9.14,5,0,10.4182,9.14,0,0.00000000,0.00000000,-0.000000000,-0.000000000,1
915,0.75,1.5,9.15,5,0,10.427,9.15,0,-0.000000000,-0.000000000,-0.00000000,-0.00000000,1
916,0.75,1.5,9.16,5,0,10.4358,9.16,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
917,0.75,1.5,9.17,5,0,10.4446,9.17,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
918,0.75,1.5,9.18,5,0,10.4533,9.18,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
919,0.75,1.5,9.19,5,0,10.4621,9.19,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
920,0.75,1.5,9.2,5,0,10.4709,9.2,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
921,0.75,1.5,9.21,5,0,10.4797,9.21,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
922,0.75,1.5,9.22,5,0,10.4885,9.22,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
923,0.75,1.5,9.23,5,0,10.4973,9.23,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
924,0.75,1.5,9.24,5,0,10.5061,9.24,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
925,0.75,1.5,9.25,5,0,10.5149,9.25,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
926,0.75,1.5,9.26,5,0,10.5237,9.26,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
927,0.75,1.5,9.27,5,0,10.5325,9.27,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
928,0.75,1.5,9.28,5,0,10.5413,9.28,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
929,0.75,1.5,9.29,5,0,10.5501,9.29,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
930,0.75,1.5,9.3,5,0,10.5589,9.3,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
931,0.75,1.5,9.31,5,0,10.5677,9.31,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
932,0.75,1.5,9.32,5,0,10.5765,9.32,0,0.000000000,0.000000000,-0.000000000,-0.000000000,1
933,0.75,1.5,9.33,5,0,10.5853,9.33,0,0.000000000,0.000000000,-0.000000000,0.000000000,1
934,0.75,1.5,9.34,5,0,10.5941,9.34,0,0.000000000,0.0000000,0.000000000,0.00000000,1
935,0.75,1.5,9.35,5,0,10.6029,9.35,0,0.000000000,0.000000000,0.000000000,0.000000000,1
936,0.75,1.5,9.36,5,0,10.6118,9.36,0,0.000000000,0.000000000,-0.000000000,0.000000000,1
937,0.75,1.5,9.37,5,0,10.6206,9.37,0,0.000000000,0.000000000,-0.000000000,0.00000000,1
938,0.75,1.5,9.38,5,0,10.6294,9.38,0,0.000000000,0.00000000,-0.000000000,-0.000000000,1
939,0.75,1.5,9.39,5,0,10.6382,9.39,0,-0.000000000,-0.000000000,-0.00000000,-0.000000000,1
940,0.75,1.5,9.4,5,0,10.6471,9.4,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
941,0.75,1.5,9.41,5,0,10.6559,9.41,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
942,0.75,1.5,9.42,5,0,10.6647,9.42,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
943,0.75,1.5,9.43,5,0,10.6736,9.43,0,-0.000000000,-0.000000000,-0.000000000,-0.000000000,1
